date,name,category,value
1997-01-01,english,anglo,2
1998-01-01,english,anglo,3
1998-01-01,french,latin,1
1998-01-01,german,anglo,1
1998-01-01,italian,latin,1
1998-01-01,spanish - spain,latin,1
1998-01-01,simplified chinese,chinese,1
1998-01-01,traditional chinese,chinese,1
1998-01-01,korean,korean,1
1999-01-01,english,anglo,6
1999-01-01,french,latin,3
1999-01-01,german,anglo,3
1999-01-01,italian,latin,2
1999-01-01,spanish - spain,latin,2
1999-01-01,korean,korean,3
1999-01-01,russian,slavic,1
1999-01-01,simplified chinese,chinese,2
1999-01-01,traditional chinese,chinese,2
2000-01-01,english,anglo,8
2000-01-01,french,latin,5
2000-01-01,german,anglo,5
2000-01-01,italian,latin,4
2000-01-01,spanish - spain,latin,4
2000-01-01,korean,korean,5
2000-01-01,russian,slavic,2
2000-01-01,simplified chinese,chinese,4
2000-01-01,traditional chinese,chinese,4
2001-01-01,english,anglo,12
2001-01-01,french,latin,7
2001-01-01,german,anglo,8
2001-01-01,italian,latin,5
2001-01-01,spanish - spain,latin,6
2001-01-01,korean,korean,6
2001-01-01,russian,slavic,3
2001-01-01,simplified chinese,chinese,5
2001-01-01,traditional chinese,chinese,5
2001-01-01,polish,other,1
2002-01-01,english,anglo,13
2002-01-01,french,latin,8
2002-01-01,german,anglo,9
2002-01-01,italian,latin,6
2002-01-01,spanish - spain,latin,7
2002-01-01,czech,czech,1
2002-01-01,polish,other,2
2002-01-01,russian,slavic,4
2002-01-01,korean,korean,6
2002-01-01,simplified chinese,chinese,5
2002-01-01,traditional chinese,chinese,5
2003-01-01,english,anglo,16
2003-01-01,french,latin,10
2003-01-01,german,anglo,11
2003-01-01,italian,latin,8
2003-01-01,spanish - spain,latin,9
2003-01-01,czech,czech,1
2003-01-01,polish,other,3
2003-01-01,russian,slavic,4
2003-01-01,korean,korean,6
2003-01-01,simplified chinese,chinese,5
2003-01-01,traditional chinese,chinese,5
2004-01-01,english,anglo,23
2004-01-01,french,latin,15
2004-01-01,german,anglo,16
2004-01-01,italian,latin,13
2004-01-01,spanish - spain,latin,14
2004-01-01,simplified chinese,chinese,10
2004-01-01,traditional chinese,chinese,10
2004-01-01,korean,korean,11
2004-01-01,czech,czech,1
2004-01-01,polish,other,4
2004-01-01,russian,slavic,7
2004-01-01,japanese,japanese,3
2004-01-01,thai,other,3
2004-01-01,turkish,turkish,1
2004-01-01,dutch,anglo,1
2004-01-01,danish,nordic,1
2004-01-01,finnish,nordic,1
2004-01-01,norwegian,nordic,1
2004-01-01,portuguese,latin,1
2004-01-01,swedish,nordic,1
2005-01-01,english,anglo,30
2005-01-01,french,latin,19
2005-01-01,german,anglo,20
2005-01-01,italian,latin,17
2005-01-01,spanish - spain,latin,18
2005-01-01,polish,other,5
2005-01-01,russian,slavic,9
2005-01-01,simplified chinese,chinese,11
2005-01-01,traditional chinese,chinese,11
2005-01-01,korean,korean,12
2005-01-01,czech,czech,1
2005-01-01,japanese,japanese,4
2005-01-01,thai,other,3
2005-01-01,turkish,turkish,1
2005-01-01,dutch,anglo,1
